# Time (s),Longitudinal moment of inertia (kg·m²),,,,Corrective Moment Coefficient (),C2r,C2r (Aerodynamic),C2,DR,Air temperature (K),Air pressure (mbar),Exhaust Velocity () / Tail Velocity,CP location (cm),CG location (cm),CP NEW(m),CG NEW (m),mass flow rate,Total velocity (m/s),Total acceleration (m/s²),Mass (g),Normal force coefficient (​),,# Angle of attack (°),Reference area (cm²)
0.02,1.44,,,,Rest,Rest,Rest,Rest,Rest,288.15,"1,013.25",0.00,NaN,122.35,NaN,NaN,0.47,0.06,3.18,"5,961.14",NaN,,88.322,67.137
0.04,1.439,,,,Rest,Rest,Rest,Rest,Rest,288.15,"1,013.25",0.00,NaN,122.34,NaN,NaN,0.47,0.65,29.16,"5,956.74",NaN,,73.518,67.137
0.06,1.439,,,,Rest,Rest,Rest,Rest,Rest,288.15,"1,013.25",0.00,NaN,122.32,NaN,NaN,0.47,1.75,55.18,"5,952.34",NaN,,51.4,67.137
0.08,1.438,,,,Rest,Rest,Rest,Rest,Rest,288.15,"1,013.24",0.00,NaN,122.31,NaN,NaN,0.46,3.37,81.23,"5,947.94",NaN,,32.992,67.137
0.1,1.438,,,,Rest,Rest,Rest,Rest,Rest,288.15,"1,013.23","2,196.74",NaN,122.29,NaN,NaN,0.46,5.52,107.32,"5,943.54",NaN,,21.631,67.137
0.118,1.437,,,,Rest,Rest,Rest,Rest,Rest,288.15,"1,013.22","1,656.16",NaN,122.27,NaN,NaN,0.46,7.87,129.85,"5,937.79",NaN,,15.648,67.137
0.131,1.436,,,,Rest,Rest,Rest,Rest,Rest,288.15,"1,013.20","1,338.21",NaN,122.25,NaN,NaN,0.46,9.57,133.45,"5,932.24",NaN,,13.041,67.137
0.141,1.436,,,,Rest,Rest,Rest,Rest,Rest,288.15,"1,013.19","1,155.65",NaN,122.23,NaN,NaN,0.45,10.96,133.43,"5,927.68",NaN,,11.475,67.137
0.15,1.435,,,,Rest,Rest,Rest,Rest,Rest,288.15,"1,013.18","1,032.69",NaN,122.22,NaN,NaN,0.45,12.18,133.42,"5,923.69",NaN,,10.391,67.137
0.159,1.434,,,,Rest,Rest,Rest,Rest,Rest,288.15,"1,013.17",942.43,NaN,122.20,NaN,NaN,0.45,13.27,133.41,"5,920.10",NaN,,9.569,67.137
0.166,1.434,,,,Rest,Rest,Rest,Rest,Rest,288.15,"1,013.15",872.47,NaN,122.19,NaN,NaN,0.45,14.28,133.40,"5,916.81",NaN,,8.923,67.137
0.173,1.434,,,,Rest,Rest,Rest,Rest,Rest,288.14,"1,013.14",816.15,NaN,122.18,NaN,NaN,0.44,15.21,133.40,"5,913.76",NaN,,8.398,67.137
0.18,1.433,,,,Rest,Rest,Rest,Rest,Rest,288.14,"1,013.13",769.53,NaN,122.17,NaN,NaN,0.44,16.09,133.39,"5,910.88",NaN,,7.959,67.137
0.19,1.433,,,,27.48,0.01,2.00,2.00,0.16,288.14,"1,013.11",708.79,133.34,122.15,1.33,1.22,0.44,17.40,133.40,"5,906.58",1.54,,7.372,67.137
0.204,1.432,,,,204.87,0.01,2.23,2.23,0.07,288.14,"1,013.08","1,897.25",134.08,122.13,1.34,1.22,0.44,19.38,133.41,"5,900.12",1.35,,6.639,67.137
0.227,1.43,,,,159.66,0.01,2.53,2.53,0.08,288.14,"1,013.02","1,637.27",135.01,122.09,1.35,1.22,0.44,22.33,133.41,"5,890.43",1.14,,5.787,67.137
0.26,1.428,,,,115.39,0.01,2.89,2.90,0.11,288.13,"1,012.93","1,358.12",136.13,122.04,1.36,1.22,0.43,26.77,133.42,"5,875.89",0.91,,4.831,67.137
0.31,1.425,,,,230.21,0.01,3.28,3.29,0.09,288.12,"1,012.75","1,869.44",137.47,121.96,1.37,1.22,0.43,33.42,133.40,"5,854.09",0.68,,3.787,67.137
0.385,1.421,,,,144.79,0.01,3.55,3.56,0.12,288.10,"1,012.41","1,442.42",139.00,121.84,1.39,1.22,0.43,43.34,132.61,"5,822.40",0.47,,2.704,67.137
0.485,1.415,,,,181.47,0.02,3.21,3.23,0.10,288.07,"1,011.83","1,571.79",140.73,121.68,1.41,1.22,0.43,56.23,129.09,"5,780.69",0.26,,1.611,67.137
0.585,1.41,,,,209.92,0.02,1.81,1.83,0.05,288.03,"1,011.10","1,649.85",142.43,121.52,1.42,1.22,0.42,68.68,124.74,"5,739.70",0.10,,0.644,67.137
0.685,1.404,,,,228.12,0.02,0.89,0.91,0.03,287.98,"1,010.22","1,705.64",143.18,121.36,1.43,1.21,0.42,80.83,121.70,"5,700.52",0.04,,0.255,67.137
0.785,1.399,,,,235.73,0.02,3.22,3.24,0.09,287.93,"1,009.20","1,739.11",142.14,121.21,1.42,1.21,0.42,92.72,119.08,"5,661.30",0.13,,0.839,67.137
0.88,1.393,,,,250.08,0.02,4.36,4.38,0.12,287.87,"1,008.11","1,789.05",141.88,121.05,1.42,1.21,0.42,104.16,120.73,"5,623.34",0.16,,1.013,67.137
0.943,1.39,,,,271.88,0.02,4.33,4.35,0.11,287.82,"1,007.30","1,859.75",142.08,120.95,1.42,1.21,0.41,112.09,124.98,"5,597.94",0.15,,0.914,67.137
1.004,1.386,,,,292.17,0.02,2.93,2.95,0.07,287.77,"1,006.47","1,903.78",142.78,120.85,1.43,1.21,0.41,119.95,128.29,"5,573.39",0.09,,0.542,67.137
1.095,1.381,,,,296.90,0.02,1.26,1.28,0.03,287.70,"1,005.14","1,904.76",143.47,120.69,1.43,1.21,0.41,131.67,129.75,"5,535.63",0.03,,0.202,67.137
1.195,1.375,,,,258.83,0.02,3.99,4.01,0.11,287.61,"1,003.52","1,781.08",142.80,120.51,1.43,1.21,0.41,144.64,129.60,"5,493.81",0.09,,0.594,67.137
1.241,1.372,,,,283.79,0.02,4.28,4.30,0.11,287.57,"1,002.72","1,854.05",142.82,120.43,1.43,1.20,0.41,150.66,129.51,"5,474.43",0.10,,0.602,67.137
1.29,1.369,,,,292.20,0.02,2.95,2.97,0.07,287.52,"1,001.84","1,874.60",143.25,120.34,1.43,1.20,0.40,156.94,129.05,"5,454.16",0.06,,0.386,67.137
1.36,1.365,,,,302.95,0.02,0.78,0.80,0.02,287.44,"1,000.52","1,879.03",143.86,120.21,1.44,1.20,0.40,165.92,128.27,"5,425.02",0.01,,0.09,67.137
1.46,1.359,,,,320.23,0.02,3.16,3.18,0.08,287.33,998.50,"1,939.24",143.46,120.03,1.43,1.20,0.40,178.65,127.01,"5,383.41",0.05,,0.346,67.137
1.501,1.356,,,,287.19,0.02,3.85,3.88,0.10,287.28,997.63,"1,830.07",143.39,119.95,1.43,1.20,0.40,183.83,126.10,"5,366.53",0.06,,0.407,67.137
1.546,1.353,,,,299.04,0.02,1.57,1.59,0.04,287.23,996.62,"1,876.84",143.91,119.87,1.44,1.20,0.39,189.58,125.23,"5,347.64",0.02,,0.158,67.137
1.615,1.349,,,,308.72,0.02,2.47,2.50,0.06,287.14,995.06,"1,885.25",143.85,119.74,1.44,1.20,0.39,198.14,123.95,"5,319.32",0.04,,0.232,67.137
